<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200424,00:00:00,187.9400000,187.9500000,185.1000000,185.7100000,36685880
20200427,00:00:00,186.5300000,188.4700000,185.6900000,186.2900000,23536090
20200428,00:00:00,185.9300000,190.6500000,185.7600000,188.5000000,44154560
20200429,00:00:00,189.7800000,195.2300000,188.5300000,193.8700000,56201200
20200430,00:00:00,195.4400000,196.2000000,189.6200000,190.0000000,72061970
20200504,00:00:00,188.0000000,188.1700000,184.5200000,185.7000000,42833330
20200505,00:00:00,188.3900000,190.3900000,187.3000000,190.0000000,39562120
20200506,00:00:00,190.5300000,191.0500000,187.0500000,187.0500000,46377880
20200507,00:00:00,187.5200000,190.3000000,185.5000000,185.8500000,67256130
20200508,00:00:00,186.3400000,186.6400000,183.1000000,185.3400000,60934480
20200512,00:00:00,184.8800000,187.2000000,183.2000000,186.1700000,49892900
20200513,00:00:00,185.5500000,185.5500000,183.8000000,184.2000000,33177080
20200514,00:00:00,183.2700000,184.8500000,181.6800000,183.9100000,49343510
20200515,00:00:00,185.6200000,186.9800000,183.8500000,183.8500000,47863870
20200518,00:00:00,185.4000000,192.5000000,185.1400000,192.5000000,60009590
20200519,00:00:00,193.0000000,194.3900000,191.1000000,194.2000000,60258130
20200520,00:00:00,193.5700000,197.2700000,192.7900000,196.7400000,73790890
20200521,00:00:00,196.1000000,199.2600000,191.4000000,194.7400000,90059720
20200522,00:00:00,194.0000000,195.7600000,192.2100000,194.3500000,42278710
20200525,00:00:00,195.2100000,197.5500000,195.1100000,197.5500000,20030490
20200526,00:00:00,198.8000000,202.3000000,196.3000000,196.8600000,65940550
20200527,00:00:00,196.1000000,197.7500000,193.1500000,194.7300000,55228910
20200528,00:00:00,194.4000000,196.9800000,194.1700000,196.8600000,39920270
20200529,00:00:00,196.2500000,199.9500000,193.2000000,199.9500000,172617900
20200601,00:00:00,200.2500000,202.4700000,197.1500000,198.7200000,54163710
20200602,00:00:00,199.4800000,202.1900000,198.7200000,201.9700000,45255750
20200603,00:00:00,203.1000000,208.1500000,202.0100000,208.0000000,65058830
20200604,00:00:00,207.9900000,207.9900000,200.6000000,201.4600000,72176320
20200605,00:00:00,202.5600000,204.8400000,201.5100000,203.0500000,44798190
20200608,00:00:00,204.9500000,206.5000000,202.9700000,204.9100000,40076610
20200609,00:00:00,205.4100000,206.1000000,201.5700000,204.8400000,35361030
20200610,00:00:00,204.8800000,205.2700000,200.5300000,201.7500000,41510100
